#This is a data from a paper “Brain size evolution in pipefishes and seahorses: the role of feeding ecology, life history and sexual selection” by Tsuboi, Masahito, Lim, Adam Chee Ooi, Ooi, Boon Leong, Yip, Mei Yee, Chong, Ving Ching, Ahnesjö, Ingrid, Kolm, Niclas. In case the data presented below will be used, please do cite this paper. 

First, the data for brain mass and body length for 339 individuals across 23 species are presented. Then, head shape of 23 species as described with 12 homologous landmarks are presented in NTS format. Finally, a nexus format description of molecular-morphological phylogeny (see paper for details) is provided. Uses needs to separate these three parts of this file with appropriate file extensions (.txt, .NTS and .nex) to repeat the analyses presented in the paper. Questions will be answered by Masahito Tsuboi (masa.tsuboi@gmail.com).

#1: Species Data

Species	Sex	Length (mm)	Brain weight (mg)	Preservative	Sampled location	Sample code
 -0.010392 0.003863
 0.093664 0.049765
 0.075643 -0.059561
 0.244554 0.067122
 0.442968 0.017751
 0.412448 -0.102810
 0.183915 -0.105583
 -0.367168 0.074641
 -0.373484 -0.004972
 -0.265636 -0.070296
 -0.249030 0.039376
 -0.100139 0.029584
 -0.040605 0.022173
 0.060458 0.078912
 0.039112 -0.028348
 0.332240 0.193750
 0.463643 0.038099
 0.361502 -0.207450
 0.139108 -0.165469
 -0.403770 0.080163
 -0.401906 -0.003449
 -0.293691 -0.065338
 -0.283829 0.028116
 -0.037853 0.022805
 0.003615 0.021358
 0.098838 0.082515
 0.084154 -0.034536
 0.305361 0.158283
 0.416465 -0.006255
 0.339756 -0.160622
 0.172861 -0.123040
 -0.372615 0.069520
 -0.376672 -0.005283
 -0.258231 -0.075509
 -0.239113 0.042335
 -0.102682 0.033989
 -0.051448 0.026505
 0.071006 0.098110
 0.031700 -0.044907
 0.348087 0.223207
 0.443420 0.004253
 0.358029 -0.188818
 0.148519 -0.183403
 -0.392736 0.070852
 -0.390301 -0.013235
 -0.281302 -0.086135
 -0.270239 0.036320
 -0.054239 0.030920
 -0.000194 0.033069
 0.089003 0.097770
 0.069210 -0.020525
 0.347966 0.180579
 0.426221 0.013971
 0.333928 -0.187818
 0.122682 -0.155768
 -0.406435 0.076947
 -0.405250 0.000575
 -0.283194 -0.053041
 -0.281720 0.043157
 -0.034040 0.046652
 0.000334 0.012543
 0.076787 0.065630
 0.067274 -0.049612
 0.269588 0.095954
 0.430076 0.021527
 0.385550 -0.147874
 0.181029 -0.112457
 -0.390552 0.077049
 -0.383891 -0.010146
 -0.291274 -0.068412
 -0.275723 0.037982
 -0.062758 0.023880
 -0.017416 0.017549
 0.099095 0.087653
 0.070989 -0.032627
 0.329138 0.166197
 0.431171 0.013945
 0.337200 -0.169900
 0.154019 -0.143170
 -0.392791 0.071195
 -0.387440 -0.005499
 -0.293526 -0.063833
 -0.281140 0.032657
 -0.059017 0.023638
 -0.008451 0.019365
 0.100775 0.084740
 0.077582 -0.036021
 0.320612 0.182767
 0.432521 -0.002630
 0.324086 -0.170515
 0.166789 -0.135866
 -0.415459 0.059036
 -0.421750 0.006067
 -0.339341 -0.024064
 -0.335332 0.037801
 -0.017013 0.027204
 0.049094 0.010080
 0.133706 0.036947
 0.126416 -0.037500
 0.283254 0.054080
 0.374141 0.000981
 0.350257 -0.091154
 0.212027 -0.079478
 -0.331408 0.094846
 -0.347677 0.016102
 -0.270404 -0.094317
 -0.241573 0.069557
 -0.118119 0.050099
 -0.099651 0.019318
 0.021327 0.083276
 0.013838 -0.058502
 0.260786 0.120894
 0.500842 0.063968
 0.441899 -0.167561
 0.170141 -0.197680
 -0.363216 0.073517
 -0.359396 0.013217
 -0.285119 -0.065565
 -0.276866 0.065717
 -0.101452 0.054686
 -0.055705 0.018992
 0.056389 0.063128
 0.042806 -0.066444
 0.244115 0.088403
 0.469553 0.007607
 0.454025 -0.124093
 0.174866 -0.129164
 -0.364145 0.073041
 -0.354817 0.010920
 -0.277994 -0.061185
 -0.265801 0.063546
 -0.097423 0.054619
 -0.079999 0.014180
 0.054969 0.072531
 0.032453 -0.050585
 0.269536 0.101131
 0.453558 0.032455
 0.444902 -0.142314
 0.184762 -0.168338
 -0.405150 0.073183
 -0.410543 0.016727
 -0.310425 -0.041974
 -0.304308 0.038990
 -0.030981 0.013595
 0.012763 -0.002220
 0.096376 0.042034
 0.084973 -0.035313
 0.297823 0.085180
 0.407797 -0.001610
 0.377719 -0.095329
 0.183956 -0.093262
 -0.395388 0.072371
 -0.396919 0.001605
 -0.322335 -0.039010
 -0.318210 0.037144
 -0.034986 0.028802
 0.010048 0.009957
 0.102336 0.047059
 0.092226 -0.048110
 0.314479 0.086075
 0.396343 0.003323
 0.372061 -0.101973
 0.180345 -0.097244
 -0.411637 0.050729
 -0.410720 0.012404
 -0.322293 -0.018366
 -0.318692 0.040750
 -0.027164 0.025149
 0.024938 0.004958
 0.108639 0.039124
 0.101760 -0.037344
 0.296018 0.061100
 0.390740 0.006073
 0.375274 -0.094918
 0.193138 -0.089658
 -0.429765 0.076117
 -0.406162 -0.000012
 -0.312148 -0.051470
 -0.308748 0.048292
 -0.028696 0.039377
 0.016316 0.014031
 0.111509 0.037448
 0.106683 -0.025262
 0.281623 0.054766
 0.387428 -0.000398
 0.371467 -0.100239
 0.210491 -0.092650
 -0.374086 0.050218
 -0.346524 0.001256
 -0.279988 -0.043781
 -0.283813 0.043850
 -0.101853 0.054450
 -0.062368 0.029681
 0.079042 0.103005
 0.042670 -0.060369
 0.295572 0.114458
 0.440399 0.012836
 0.421227 -0.161692
 0.169723 -0.143910


#3 Molecular-morphological phylogeny for 23 species.

#NEXUS

BEGIN TREES;
	Title 'Trees from "lumbtree.nex"';
	LINK Taxa = Taxa;
	TRANSLATE
[0] 		1 Chaematopterus,
[1] 		2 Cintestinalis,
[2] 		3 Dboaja,
[3] 		4 Ddactyliophorus,
[4] 		5 Djaponicus,
[5] 		6 Dmartensi,
[6] 		7 Eaequoreus,
[7] 		8 Habdominalis,
[8] 		9 Hcomes,
[9] 		10 Hhippocampus,
[10] 		11 Hkuda,
[11] 		12 Hpenicillus,
[12] 		13 Hspinosissimus,
[13] 		14 Htrimaculatus,
[14] 		15 Mbrachyurus,
[15] 		16 Nlumbriciformis,
[16] 		17 Nophidion,
[17] 		18 Sabaster,
[18] 		19 Sacus,
[19] 		20 Sbiaculeatus,
[20] 		21 Sschlegeli,
[21] 		22 Styphle,
[22] 		23 Tserratus;
	TREE UNTITLED = (((1:0.272293,2:0.272293):0.598335,((((((18:0.02303,22:0.02303):0.087586,19:0.110615):0.045982,21:0.156597):0.499164,((8:0.166406,((11:0.095014,13:0.095014):0.020756,10:0.11577):0.050636,14:0.166406):0.042587,9:0.208993):0.446769):0.043733,(12:0.477419,23:0.477419):0.222075):0.088791,20:0.788286):0.082342):0.129372,(((4:0.554236,(5:0.099718,6:0.099718):0.454518):0.091474,(15:0.131635,3:0.131635):0.514075):0.229981,((7:0.357602,16:0.357602):0.06048,17:0.418082):0.457609):0.124309);
END;
